price,area,cafe_present,restaurant_present,bar_present,pub_present,fast_food_present,school_present,university_present,library_present,hospital_present,clinic_present,pharmacy_present,bank_present,atm_present,bus_station_present,parking_present
3590,102.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4060,140.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
4060,140.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
4060,140.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
4060,140.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4060,140.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
4060,140.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
4060,140.0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0
4060,140.0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0
4060,140.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4060,140.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
4060,140.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
4060,140.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
4060,140.0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1
2210,93.0,1,1,1,1,1,0,0,1,0,0,1,1,0,0,1
2210,93.0,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1
2210,93.0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0
2210,93.0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0
2210,93.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
2210,93.0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1
2210,93.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2210,93.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2210,93.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2210,93.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
2210,93.0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0
2610,38.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2610,38.0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,1
2610,38.0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0
2610,38.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2610,38.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2610,38.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2610,38.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
2610,38.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2610,38.0,1,1,0,0,1,1,0,0,0,0,1,1,1,0,1
2610,38.0,1,1,1,1,1,1,0,1,0,0,1,0,1,0,1
2610,38.0,1,1,0,0,1,0,0,0,0,1,0,1,1,1,1
2610,38.0,1,1,0,0,1,0,0,0,0,1,0,1,1,1,1
2610,38.0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,1
